0.471448	0.551225	0.624625	0.688506	0.741098	0.782058	0.812233	0.833262	0.847125	0.855771	0.860871	0.855771	0.847125	0.833262	0.812233	0.782058	0.741098	0.688506	0.624625	0.551225	0.471448	
0.497504	0.581691	0.659147	0.726558	0.782058	0.825281	0.857124	0.879315	0.893944	0.903068	0.908450	0.903068	0.893944	0.879315	0.857124	0.825281	0.782058	0.726558	0.659147	0.581691	0.497504	
0.516700	0.604135	0.684579	0.754592	0.812233	0.857124	0.890195	0.913243	0.928437	0.937912	0.943502	0.937912	0.928437	0.913243	0.890195	0.857124	0.812233	0.754592	0.684579	0.604135	0.516700	
0.530077	0.619776	0.702303	0.774129	0.833262	0.879315	0.913243	0.936887	0.952475	0.962195	0.967929	0.962195	0.952475	0.936887	0.913243	0.879315	0.833262	0.774129	0.702303	0.619776	0.530077	
0.538897	0.630088	0.713988	0.787008	0.847125	0.893944	0.928437	0.952475	0.968321	0.978204	0.984033	0.978204	0.968321	0.952475	0.928437	0.893944	0.847125	0.787008	0.713988	0.630088	0.538897	
0.544396	0.636518	0.721275	0.795040	0.855771	0.903068	0.937912	0.962195	0.978204	0.988187	0.994076	0.988187	0.978204	0.962195	0.937912	0.903068	0.855771	0.795040	0.721275	0.636518	0.544396	
0.547641	0.640312	0.725573	0.799778	0.860871	0.908450	0.943502	0.967929	0.984033	0.994076	1.000000	0.994076	0.984033	0.967929	0.943502	0.908450	0.860871	0.799778	0.725573	0.640312	0.547641	
0.544396	0.636518	0.721275	0.795040	0.855771	0.903068	0.937912	0.962195	0.978204	0.988187	0.994076	0.988187	0.978204	0.962195	0.937912	0.903068	0.855771	0.795040	0.721275	0.636518	0.544396	
0.538897	0.630088	0.713988	0.787008	0.847125	0.893944	0.928437	0.952475	0.968321	0.978204	0.984033	0.978204	0.968321	0.952475	0.928437	0.893944	0.847125	0.787008	0.713988	0.630088	0.538897	
0.530077	0.619776	0.702303	0.774129	0.833262	0.879315	0.913243	0.936887	0.952475	0.962195	0.967929	0.962195	0.952475	0.936887	0.913243	0.879315	0.833262	0.774129	0.702303	0.619776	0.530077	
0.516700	0.604135	0.684579	0.754592	0.812233	0.857124	0.890195	0.913243	0.928437	0.937912	0.943502	0.937912	0.928437	0.913243	0.890195	0.857124	0.812233	0.754592	0.684579	0.604135	0.516700	
0.497504	0.581691	0.659147	0.726558	0.782058	0.825281	0.857124	0.879315	0.893944	0.903068	0.908450	0.903068	0.893944	0.879315	0.857124	0.825281	0.782058	0.726558	0.659147	0.581691	0.497504	
0.471448	0.551225	0.624625	0.688506	0.741098	0.782058	0.812233	0.833262	0.847125	0.855771	0.860871	0.855771	0.847125	0.833262	0.812233	0.782058	0.741098	0.688506	0.624625	0.551225	0.471448	
0.437991	0.512107	0.580297	0.639645	0.688506	0.726558	0.754592	0.774129	0.787008	0.795040	0.799778	0.795040	0.787008	0.774129	0.754592	0.726558	0.688506	0.639645	0.580297	0.512107	0.437991	
0.397353	0.464593	0.526456	0.580297	0.624625	0.659147	0.684579	0.702303	0.713988	0.721275	0.725573	0.721275	0.713988	0.702303	0.684579	0.659147	0.624625	0.580297	0.526456	0.464593	0.397353	
0.350661	0.409999	0.464593	0.512107	0.551225	0.581691	0.604135	0.619776	0.630088	0.636518	0.640312	0.636518	0.630088	0.619776	0.604135	0.581691	0.551225	0.512107	0.464593	0.409999	0.350661	
0.299910	0.350661	0.397353	0.437991	0.471448	0.497504	0.516700	0.530077	0.538897	0.544396	0.547641	0.544396	0.538897	0.530077	0.516700	0.497504	0.471448	0.437991	0.397353	0.350661	0.299910	
