10360681	60	3	19	SH, CN, LD	99.657384	52423.024677	29976.488214
11008738	60	3	20	SH, N, LN	88.524302	1841.623341	1339.946927
11036978	60	3	20	SH, N, LD	91.615470	51784.282936	30121.343092
11065814	60	3	20	SH, CN, LN	90.267045	1987.322069	1413.244601
11094512	60	3	20	SH, CN, LD	91.615470	51784.282945	30121.343096
11434970	60	3	21	SH, N, LN	91.012954	1801.714157	1316.987348
11462815	60	3	21	SH, N, LD	90.385460	50665.026122	29705.226742
11491099	60	3	21	SH, CN, LN	90.552441	1948.627078	1392.068956
11518927	60	3	21	SH, CN, LD	90.385460	50665.026123	29705.226744
12259561	60	3	22	SH, N, LN	99.090829	1775.694582	1299.708978
12287614	60	3	22	SH, N, LD	98.137780	50314.677847	29448.909128
12315414	60	3	22	SH, CN, LN	98.346643	1911.721620	1369.300296
12343382	60	3	22	SH, CN, LD	98.137780	50314.677796	29448.909113
12967925	60	3	23	SH, N, LN	90.660945	1831.562562	1330.240650
12996269	60	3	23	SH, N, LD	98.186711	51378.377243	29841.465506
13024951	60	3	23	SH, CN, LN	94.998065	1970.854513	1400.661160
13053296	60	3	23	SH, CN, LD	98.186711	51378.377249	29841.465501
13407393	60	3	24	SH, N, LN	89.749431	1785.932155	1307.068725
13434640	60	3	24	SH, N, LD	90.068337	50448.768996	29641.286213
13462212	60	3	24	SH, CN, LN	90.068337	1933.932644	1383.030442
13489630	60	3	24	SH, CN, LD	90.068337	50448.768988	29641.286212
14053320	60	3	25	SH, N, LN	95.734680	1803.280938	1311.997564
14072415	60	3	25	SH, N, LD	96.645058	50965.394014	29638.644904
14090956	60	3	25	SH, CN, LN	96.368974	1949.286903	1386.613869
14109177	60	3	25	SH, CN, LD	96.645058	50965.394082	29638.644922
14660121	60	3	26	SH, N, LN	93.067475	1851.541884	1339.908535
14680482	60	3	26	SH, N, LD	93.058664	52741.090465	30095.396176
14700655	60	3	26	SH, CN, LN	93.493929	2000.088444	1413.688052
14720816	60	3	26	SH, CN, LD	93.058664	52741.090536	30095.396194
15235591	60	3	27	SH, N, LN	98.898047	1815.675305	1322.652804
15254902	60	3	27	SH, N, LD	99.166945	51043.346533	29796.422959
15274654	60	3	27	SH, CN, LN	99.166945	1958.950050	1395.403180
15294192	60	3	27	SH, CN, LD	99.166945	51043.346503	29796.422949
15892189	60	3	28	SH, N, LN	99.498800	1791.971550	1310.866485
15910740	60	3	28	SH, N, LD	99.574155	50638.975038	29728.628786
15929619	60	3	28	SH, CN, LN	99.498800	1926.179864	1379.832033
15948374	60	3	28	SH, CN, LD	99.574155	50638.975050	29728.628787
16805017	60	3	29	SH, N, LN	93.969198	1784.570681	1299.423056
16823247	60	3	29	SH, N, LD	91.909345	51071.517191	29503.430921
16841722	60	3	29	SH, CN, LN	91.424571	1937.643324	1377.886568
16860021	60	3	29	SH, CN, LD	91.909345	51071.517204	29503.430923
17280351	60	3	30	SH, N, LN	100.000000	1734.547810	1283.077618
17299803	60	3	30	SH, N, LD	99.818652	47861.624940	28919.290040
17319976	60	3	30	SH, CN, LN	100.000000	1874.154665	1356.577500
17339844	60	3	30	SH, CN, LD	99.818652	47861.624939	28919.290041
17938660	60	3	31	SH, N, LN	95.194312	1912.293460	1360.466119
17957390	60	3	31	SH, N, LD	93.607594	54464.313018	30335.933478
17975900	60	3	31	SH, CN, LN	94.789751	2053.160221	1428.815408
17994661	60	3	31	SH, CN, LD	93.607594	54464.312940	30335.933456
18815270	60	3	32	SH, N, LN	98.136033	1739.124545	1286.702314
18835410	60	3	32	SH, N, LD	98.188936	48516.914667	29139.020196
18855956	60	3	32	SH, CN, LN	98.504594	1880.004414	1360.724724
18876377	60	3	32	SH, CN, LD	98.188936	48516.914721	29139.020192
19353606	60	3	33	SH, N, LN	99.643959	1808.421500	1323.397567
19374410	60	3	33	SH, N, LD	99.263241	51007.284933	29892.063770
19394021	60	3	33	SH, CN, LN	99.196263	1947.782855	1394.576052
19414311	60	3	33	SH, CN, LD	99.263241	51007.284800	29892.063746
19616283	60	3	34	SH, N, LN	99.915548	1738.176764	1279.709656
19635835	60	3	34	SH, N, LD	99.679786	48583.247824	28926.672193
19655397	60	3	34	SH, CN, LN	99.915548	1876.778328	1351.942749
19674985	60	3	34	SH, CN, LD	99.679786	48583.247841	28926.672197
20817297	60	3	35	SH, N, LN	92.599933	1682.239246	1251.288629
20836104	60	3	35	SH, N, LD	98.016242	46491.575918	28407.545339
20855272	60	3	35	SH, CN, LN	97.728588	1820.524878	1325.269781
20874781	60	3	35	SH, CN, LD	98.016242	46491.575915	28407.545337
21330983	60	3	36	SH, N, LN	90.067037	1779.085380	1299.564397
