0	40	1.00993108771991369	0.054409	-0.015161	-0.013489	-0.006793	-0.020837	-0.068367	-0.175816	-0.140978	-0.098345	0.530842	0.593175	0.449839	-0.147895	-0.138607	-0.078325	-0.060191	-0.016440	-0.017925	0.005791	0.091657	0.112726	0.067112	-0.010013	0.032402	-0.066493	-0.027560	-0.079854	-0.024804	-0.065262	0.018679
1	61	0.57128951825938201	-0.235319	-0.175076	-0.208745	0.099114	0.136699	0.050467	-0.507672	0.015192	-0.361400	0.067633	-0.037134	-0.027042	0.206721	0.208287	-0.010541	0.089716	0.214493	0.059238	-0.075325	-0.171860	-0.083347	0.108477	0.029409	0.342904	0.037387	0.132445	0.327253	0.020608	0.026199	0.027849
2	59	0.50658489949616936	0.286588	0.311538	-0.163286	0.062596	0.051477	0.068115	-0.017336	0.264173	-0.187741	-0.197297	0.295163	-0.212710	-0.276128	-0.263125	-0.034236	-0.056780	-0.075436	0.135296	0.042920	-0.126699	0.004843	-0.005658	-0.155641	-0.012733	0.305919	0.106779	0.339499	-0.118039	-0.186384	-0.145548
3	70	0.38307477344641983	0.242127	0.091398	0.041832	0.003819	-0.108013	-0.171997	-0.210983	0.108649	-0.236182	-0.109779	-0.177292	-0.025122	-0.208330	-0.202157	-0.028346	-0.119604	-0.202741	0.050959	0.093909	0.105779	0.231308	0.075561	0.276074	0.189679	-0.213626	-0.158392	0.046055	0.383938	0.326448	0.269211
4	82	0.32644629669072822	-0.074747	-0.009402	-0.243440	0.059617	0.057582	0.104196	0.344075	0.234622	0.180298	0.392171	-0.044960	-0.183028	-0.208759	-0.179706	-0.072846	0.237015	0.019118	-0.156184	-0.139908	-0.243360	-0.175524	0.035121	-0.100346	0.165317	-0.327402	0.050666	0.145342	0.126139	0.065431	0.246258
5	71	0.30045743273328035	0.256983	0.136939	0.142816	0.191633	0.207942	0.238482	-0.074444	-0.411463	-0.077836	0.235914	-0.440792	0.031062	-0.061313	-0.091022	-0.289027	0.213089	-0.009518	-0.093755	0.166749	0.038978	0.234869	-0.057471	-0.243164	0.000728	0.023141	0.055084	0.091527	-0.032703	-0.063560	-0.110949
6	57	0.27143467439890007	-0.082288	0.060800	0.054595	0.300302	0.253633	0.241706	-0.156040	0.142563	-0.048038	-0.074669	0.213771	-0.408099	0.006242	-0.025509	0.030697	0.037371	0.098507	-0.100292	0.100397	0.097942	0.162360	0.211210	-0.015376	0.122782	-0.178185	-0.237564	-0.514832	-0.118671	-0.111977	0.014678
7	1642	0.21782141299966420	0.159518	0.069501	0.216146	0.158028	0.237780	0.108264	-0.276004	0.554109	0.190654	0.229602	-0.211991	0.273963	0.094158	0.014899	0.147682	-0.019436	-0.166337	-0.108652	-0.142522	-0.132222	-0.094210	-0.039205	0.199928	-0.173167	0.096210	-0.037068	-0.026454	0.018094	-0.007655	-0.192000
8	55	0.21741704688544011	0.202985	0.054276	0.052043	0.275166	0.114727	0.052374	-0.004369	-0.121145	-0.085626	-0.030531	0.284200	-0.106296	0.374632	0.131887	0.191617	-0.087639	-0.268131	-0.056598	-0.074345	0.019638	-0.131169	-0.417128	-0.313080	-0.106373	-0.195422	0.012793	0.110165	0.117105	0.260476	0.175375
9	58	0.17758207625456346	0.260908	0.116903	-0.080900	-0.127687	-0.016260	-0.082392	0.220685	-0.006631	-0.057783	0.080980	-0.124172	0.088657	0.210596	0.115158	0.154988	-0.238905	-0.272613	-0.176506	0.000875	0.036605	-0.129697	0.293058	-0.162916	0.602323	0.059170	-0.041756	-0.103242	-0.173842	-0.048671	-0.142767
